City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Metro,ID,2021-01-18 01:17:15,-5.1131,105.3067,78.13,84,73,11.97,broken clouds
1,Rikitea,PF,2021-01-18 01:17:15,-23.1203,-134.9692,78.87,75,31,12.17,scattered clouds
2,Lasa,IT,2021-01-18 01:17:15,46.6166,10.7002,28.0,80,75,9.22,broken clouds
3,Bonavista,CA,2021-01-18 01:17:15,48.6499,-53.1147,39.0,93,100,4.61,moderate rain
4,Souillac,MU,2021-01-18 01:05:38,-20.5167,57.5167,78.8,83,40,11.5,scattered clouds
5,Faanui,PF,2021-01-18 01:11:51,-16.4833,-151.75,82.08,74,0,12.39,clear sky
6,Deputatskiy,RU,2021-01-18 01:17:16,69.3,139.9,-36.22,85,91,1.07,overcast clouds
7,Punta Arenas,CL,2021-01-18 01:12:45,-53.15,-70.9167,53.6,66,0,31.07,clear sky
8,Soe,ID,2021-01-18 01:17:16,-9.8607,124.284,76.69,77,32,3.58,light rain
9,Centralia,US,2021-01-18 01:14:51,46.7162,-122.9543,50.0,93,90,6.91,overcast clouds
10,Vaini,TO,2021-01-18 01:17:17,-21.2,-175.2,87.8,74,75,11.5,broken clouds
11,Albany,US,2021-01-18 01:17:05,42.6001,-73.9662,37.0,71,81,6.55,broken clouds
12,Khatanga,RU,2021-01-18 01:11:35,71.9667,102.5,-25.62,81,0,13.62,clear sky
13,Ilulissat,GL,2021-01-18 01:09:53,69.2167,-51.1,19.4,86,75,11.5,light snow
14,Terrace,CA,2021-01-18 01:17:17,54.5163,-128.6035,39.2,87,75,13.8,broken clouds
15,Oktyabrskiy,RU,2021-01-18 01:17:17,54.4815,53.471,-11.83,89,16,1.83,few clouds
16,Tiksi,RU,2021-01-18 01:11:35,71.6872,128.8694,-20.67,88,100,8.3,overcast clouds
17,Cabo San Lucas,MX,2021-01-18 01:08:03,22.8909,-109.9124,73.4,56,1,5.53,clear sky
18,Srikakulam,IN,2021-01-18 01:17:18,18.3,83.9,69.12,82,35,5.84,scattered clouds
19,Mar Del Plata,AR,2021-01-18 01:17:18,-38.0023,-57.5575,62.6,77,75,9.22,broken clouds
20,Fairbanks,US,2021-01-18 01:10:04,64.8378,-147.7164,3.2,92,1,2.26,clear sky
21,Talnakh,RU,2021-01-18 01:15:48,69.4865,88.3972,-6.97,80,100,3.87,overcast clouds
22,Hermanus,ZA,2021-01-18 01:11:33,-34.4187,19.2345,66.99,80,0,7.0,clear sky
23,Ushuaia,AR,2021-01-18 01:08:55,-54.8,-68.3,50.0,81,90,12.66,light intensity drizzle
24,Busselton,AU,2021-01-18 01:15:53,-33.65,115.3333,81.0,38,0,7.0,clear sky
25,Tiarei,PF,2021-01-18 01:17:19,-17.5333,-149.3333,86.0,66,40,14.97,light rain
26,Georgetown,MY,2021-01-18 01:05:07,5.4112,100.3354,78.8,69,20,5.75,few clouds
27,Aklavik,CA,2021-01-18 01:13:06,68.2191,-135.0107,-7.6,77,75,5.48,broken clouds
28,Norman Wells,CA,2021-01-18 01:12:09,65.282,-126.8329,-9.4,84,90,1.3,overcast clouds
29,Luderitz,NA,2021-01-18 01:04:41,-26.6481,15.1594,63.3,84,0,8.5,clear sky
30,Taoudenni,ML,2021-01-18 01:08:57,22.6783,-3.9836,56.26,36,99,16.75,overcast clouds
31,Thompson,CA,2021-01-18 01:17:20,55.7435,-97.8558,-11.2,77,75,4.61,light snow
32,Pevek,RU,2021-01-18 01:11:39,69.7008,170.3133,-29.94,85,7,3.67,clear sky
33,Adrar,MR,2021-01-18 01:04:42,20.5022,-10.0711,59.16,30,100,12.44,overcast clouds
34,Cape Town,ZA,2021-01-18 01:17:20,-33.9258,18.4232,68.0,73,0,9.22,clear sky
35,Yellowknife,CA,2021-01-18 01:15:29,62.456,-114.3525,1.4,85,90,8.05,light snow
36,San Martin Jilotepeque,GT,2021-01-18 01:17:21,14.7878,-90.7925,64.4,77,20,11.5,few clouds
37,Port Blair,IN,2021-01-18 01:09:26,11.6667,92.75,80.49,77,54,18.32,broken clouds
38,Pincher Creek,CA,2021-01-18 01:17:21,49.4833,-113.952,39.0,44,100,19.57,overcast clouds
39,Carnarvon,AU,2021-01-18 01:17:21,-24.8667,113.6333,86.0,74,97,4.61,overcast clouds
40,Qaanaaq,GL,2021-01-18 01:17:21,77.484,-69.3632,-3.05,74,0,6.13,clear sky
41,Bredasdorp,ZA,2021-01-18 01:17:21,-34.5322,20.0403,64.4,88,38,5.75,scattered clouds
42,Sawakin,SD,2021-01-18 01:12:26,19.1059,37.3321,71.94,69,32,11.79,scattered clouds
43,Labuhan,ID,2021-01-18 01:16:16,-6.8844,112.2051,80.89,80,85,12.24,light rain
44,Narsaq,GL,2021-01-18 01:09:28,60.9167,-46.05,23.0,63,75,5.75,broken clouds
45,Emerald,AU,2021-01-18 01:17:22,-23.5333,148.1667,87.8,48,56,12.66,broken clouds
46,New Norfolk,AU,2021-01-18 01:11:56,-42.7826,147.0587,64.99,68,100,5.01,overcast clouds
47,Atuona,PF,2021-01-18 01:09:09,-9.8,-139.0333,78.67,78,83,14.45,broken clouds
48,East London,ZA,2021-01-18 01:17:22,-33.0153,27.9116,68.86,78,100,5.46,light rain
49,Puerto Ayora,EC,2021-01-18 01:10:59,-0.7393,-90.3518,75.99,93,19,1.99,few clouds
50,Hasaki,JP,2021-01-18 01:09:05,35.7333,140.8333,39.2,70,75,8.05,broken clouds
51,Bluff,NZ,2021-01-18 01:17:23,-46.6,168.3333,60.01,57,95,5.99,overcast clouds
52,Tevriz,RU,2021-01-18 01:17:23,57.509,72.4042,11.39,95,100,11.36,overcast clouds
53,Beian,NO,2021-01-18 01:17:23,63.6559,9.5683,30.2,80,75,16.11,broken clouds
54,Corn Island,NI,2021-01-18 01:17:24,12.1694,-83.0418,80.44,80,100,11.01,overcast clouds
55,Vostok,RU,2021-01-18 01:17:24,46.4856,135.8833,-3.82,85,100,2.46,overcast clouds
56,Jiuquan,CN,2021-01-18 01:17:24,39.7432,98.5174,16.27,66,0,0.74,clear sky
57,Pacifica,US,2021-01-18 01:17:24,37.6138,-122.4869,64.0,63,1,13.8,haze
58,Kodiak,US,2021-01-18 01:09:07,57.79,-152.4072,37.4,75,90,12.66,overcast clouds
59,Senovo,SI,2021-01-18 01:17:25,46.0236,15.4769,26.6,93,90,2.3,mist
60,Jamestown,US,2021-01-18 01:17:25,42.097,-79.2353,32.0,93,90,11.5,light snow
61,Dikson,RU,2021-01-18 01:15:36,73.5069,80.5464,-23.55,84,34,18.21,scattered clouds
62,Ylojarvi,FI,2021-01-18 01:17:25,61.5563,23.5961,15.01,92,90,2.3,overcast clouds
63,Port Alfred,ZA,2021-01-18 01:17:25,-33.5906,26.891,64.99,89,100,7.58,overcast clouds
64,Buraydah,SA,2021-01-18 01:10:44,26.326,43.975,50.0,71,0,3.44,clear sky
65,Eyl,SO,2021-01-18 01:17:26,7.9803,49.8164,71.47,74,34,10.16,scattered clouds
66,Lugovoy,KZ,2021-01-18 01:17:26,42.9472,72.7644,30.83,82,100,3.06,overcast clouds
67,Castro,BR,2021-01-18 01:07:26,-24.7911,-50.0119,65.52,95,100,6.11,overcast clouds
68,Muzhi,RU,2021-01-18 01:17:26,65.3667,64.6667,-17.95,87,100,6.69,overcast clouds
69,Troitskoye,RU,2021-01-18 01:17:26,52.9821,84.6757,9.46,92,93,7.81,overcast clouds
70,Portland,US,2021-01-18 01:17:26,45.5234,-122.6762,48.2,81,75,0.67,broken clouds
71,Ponta Delgada,PT,2021-01-18 01:04:39,37.7333,-25.6667,61.0,88,20,23.02,few clouds
72,Qasigiannguit,GL,2021-01-18 01:10:58,68.8193,-51.1922,19.4,86,75,11.5,light snow
73,Barrow,US,2021-01-18 01:17:27,71.2906,-156.7887,-4.0,77,90,12.66,overcast clouds
74,Chapais,CA,2021-01-18 01:12:26,49.7834,-74.8492,12.2,85,90,13.8,light snow
75,Paamiut,GL,2021-01-18 01:09:52,61.994,-49.6678,27.03,92,100,7.63,overcast clouds
76,Upernavik,GL,2021-01-18 01:15:50,72.7868,-56.1549,14.18,85,100,9.24,overcast clouds
77,Tecoanapa,MX,2021-01-18 01:17:27,16.5167,-98.75,77.94,74,0,5.57,clear sky
78,Canandaigua,US,2021-01-18 01:13:48,42.8742,-77.288,35.01,78,100,4.0,overcast clouds
79,Boa Viagem,BR,2021-01-18 01:17:28,-5.1275,-39.7322,78.82,61,100,5.53,overcast clouds
80,Hilo,US,2021-01-18 01:17:28,19.7297,-155.09,78.8,73,90,4.61,light rain
81,Chistogorskiy,RU,2021-01-18 01:17:28,53.9835,87.3843,11.7,95,100,5.35,overcast clouds
82,Portales,US,2021-01-18 01:17:28,34.1862,-103.3344,42.01,55,1,9.22,clear sky
83,Saint-Philippe,RE,2021-01-18 01:12:15,-21.3585,55.7679,77.0,69,0,4.61,light rain
84,Arraial Do Cabo,BR,2021-01-18 01:07:31,-22.9661,-42.0278,78.8,73,0,12.66,clear sky
85,Butaritari,KI,2021-01-18 01:15:36,3.0707,172.7902,80.69,77,92,19.13,overcast clouds
86,Ayr,GB,2021-01-18 01:17:29,55.4627,-4.6339,44.6,87,90,23.02,overcast clouds
87,Torbay,CA,2021-01-18 01:05:19,47.6666,-52.7314,37.99,100,90,14.97,light rain
88,Meadow Lake,US,2021-01-18 01:17:29,34.8014,-106.5436,53.6,13,40,6.4,scattered clouds
89,Pisco,PE,2021-01-18 01:16:12,-13.7,-76.2167,69.8,83,0,18.41,clear sky
90,Santa Maria,BR,2021-01-18 01:12:33,-29.6842,-53.8069,73.4,68,40,3.44,scattered clouds
91,Sivaki,RU,2021-01-18 01:17:30,52.6333,126.75,-21.42,85,93,8.5,overcast clouds
92,Kapaa,US,2021-01-18 01:17:30,22.0752,-159.319,80.6,65,75,17.27,light rain
93,Gorontalo,ID,2021-01-18 01:17:30,0.5412,123.0595,84.38,63,100,2.42,overcast clouds
94,Nyurba,RU,2021-01-18 01:13:22,63.2842,118.3319,-33.99,82,100,4.94,overcast clouds
95,Roald,NO,2021-01-18 01:17:30,62.5833,6.1333,41.0,70,40,6.91,scattered clouds
96,Bud,US,2021-01-18 01:12:29,39.447,-86.1758,30.0,92,90,8.9,overcast clouds
97,Biloela,AU,2021-01-18 01:17:30,-24.4167,150.5,89.15,41,0,11.74,clear sky
98,Bengkulu,ID,2021-01-18 01:17:31,-3.8004,102.2655,77.88,81,81,5.77,broken clouds
99,Mataura,NZ,2021-01-18 01:15:30,-46.1927,168.8643,60.01,57,100,5.99,moderate rain
100,Clyde River,CA,2021-01-18 01:09:38,70.4692,-68.5914,6.8,92,90,24.16,light snow
101,Pemba,MZ,2021-01-18 01:17:31,-12.974,40.5178,78.8,94,75,10.36,broken clouds
102,Datong,CN,2021-01-18 01:17:31,40.0936,113.2914,14.2,67,0,2.95,clear sky
103,Tasiilaq,GL,2021-01-18 01:09:01,65.6145,-37.6368,23.0,63,0,4.61,clear sky
104,At-Bashi,KG,2021-01-18 01:17:32,41.1702,75.8106,15.6,59,86,1.34,overcast clouds
105,Plettenberg Bay,ZA,2021-01-18 01:13:04,-34.0527,23.3716,64.49,87,16,7.78,few clouds
106,Parlakimidi,IN,2021-01-18 01:17:32,18.7667,84.0833,67.14,82,53,2.91,broken clouds
107,Japura,ID,2021-01-18 01:17:33,-0.3167,102.35,73.42,95,100,1.34,light rain
108,Holguin,CU,2021-01-18 01:17:33,20.8872,-76.2631,71.6,94,1,3.44,clear sky
109,Mugur-Aksy,RU,2021-01-18 01:12:12,50.35,90.5,9.9,75,98,5.88,overcast clouds
110,Weyburn,CA,2021-01-18 01:17:33,49.6668,-103.8511,26.6,93,100,5.75,overcast clouds
111,Guerrero Negro,MX,2021-01-18 01:04:09,27.9769,-114.0611,68.09,34,0,8.81,clear sky
112,Xichang,CN,2021-01-18 01:17:34,27.8964,102.2634,35.91,79,13,0.22,few clouds
113,Kholodnyy,RU,2021-01-18 01:17:34,62.7167,147.95,-25.26,81,100,6.02,overcast clouds
114,Kirakira,SB,2021-01-18 01:09:41,-10.4544,161.9205,85.23,73,18,8.34,light rain
115,Arlit,NE,2021-01-18 01:12:33,18.7369,7.3853,61.61,29,84,4.47,broken clouds
116,Severo-Kurilsk,RU,2021-01-18 01:05:32,50.6789,156.125,21.96,94,91,38.25,light snow
117,Farkhor,TJ,2021-01-18 01:17:34,37.4922,69.4036,42.8,93,75,2.24,broken clouds
118,Hobart,AU,2021-01-18 01:13:07,-42.8794,147.3294,66.2,48,75,26.46,broken clouds
119,Ust-Tarka,RU,2021-01-18 01:17:35,55.5672,75.705,9.7,95,100,13.33,overcast clouds
120,Hailey,US,2021-01-18 01:12:21,43.5196,-114.3153,32.0,74,40,3.94,scattered clouds
121,Ucluelet,CA,2021-01-18 01:06:47,48.9329,-125.5528,48.2,81,20,11.5,few clouds
122,Bambous Virieux,MU,2021-01-18 01:17:35,-20.3428,57.7575,79.0,83,40,11.5,scattered clouds
123,Hillsboro,US,2021-01-18 01:17:35,45.5229,-122.9898,46.99,100,1,2.91,clear sky
124,Okhotsk,RU,2021-01-18 01:17:35,59.3833,143.3,-18.02,74,93,20.24,overcast clouds
125,San Cristobal,VE,2021-01-18 01:17:36,7.7669,-72.225,65.73,87,9,1.74,clear sky
126,Eureka,US,2021-01-18 01:12:27,40.8021,-124.1637,55.99,82,100,1.99,overcast clouds
127,Fort Atkinson,US,2021-01-18 01:17:36,42.9289,-88.8371,28.99,88,100,1.01,overcast clouds
128,Cidreira,BR,2021-01-18 01:09:15,-30.1811,-50.2056,73.11,93,100,13.56,overcast clouds
129,Kaputa,ZM,2021-01-18 01:17:36,-8.4689,29.6619,66.85,84,94,3.49,overcast clouds
130,Ribeira Grande,PT,2021-01-18 01:05:14,38.5167,-28.7,62.67,79,86,27.74,light rain
131,Macherla,IN,2021-01-18 01:17:36,16.4833,79.4333,65.91,88,0,3.87,clear sky
132,Los Llanos De Aridane,ES,2021-01-18 01:09:29,28.6585,-17.9182,62.6,63,90,8.05,overcast clouds
133,Denpasar,ID,2021-01-18 01:14:33,-8.65,115.2167,78.8,94,75,5.75,broken clouds
134,Kruisfontein,ZA,2021-01-18 01:11:48,-34.0033,24.7314,68.0,76,57,1.01,broken clouds
135,Svetlaya,RU,2021-01-18 01:17:37,46.5389,138.3297,7.02,77,3,5.01,clear sky
136,Altay,CN,2021-01-18 01:17:37,47.8667,88.1167,12.11,64,84,2.13,broken clouds
137,Praia Da Vitoria,PT,2021-01-18 01:10:43,38.7333,-27.0667,61.0,94,75,23.76,broken clouds
138,Luangwa,ZM,2021-01-18 01:17:37,-15.6167,30.4167,74.28,89,100,1.3,light rain
139,Sitka,US,2021-01-18 01:11:06,57.0531,-135.33,42.8,81,75,5.75,light snow
140,Exeter,GB,2021-01-18 01:17:38,50.7236,-3.5275,37.99,94,98,7.09,overcast clouds
141,Atar,MR,2021-01-18 01:17:38,20.5169,-13.0499,63.27,25,100,14.79,overcast clouds
142,Saldanha,ZA,2021-01-18 01:15:46,-33.0117,17.9442,64.4,77,0,4.61,clear sky
143,Cherskiy,RU,2021-01-18 01:11:50,68.75,161.3,-32.49,83,99,2.1,overcast clouds
144,Fayaoue,NC,2021-01-18 01:17:40,-20.65,166.5333,83.19,75,97,5.77,overcast clouds
145,Cayenne,GF,2021-01-18 01:10:47,4.9333,-52.3333,78.8,89,20,8.05,few clouds
146,Avarua,CK,2021-01-18 01:17:40,-21.2078,-159.775,86.0,62,100,8.05,overcast clouds
147,Howard Springs,AU,2021-01-18 01:17:40,-12.497,131.047,84.99,70,75,11.5,broken clouds
148,Sovetskiy,RU,2021-01-18 01:17:40,61.3614,63.5842,-14.19,89,92,6.62,overcast clouds
149,Lanquin,GT,2021-01-18 01:17:40,15.5667,-89.9667,62.6,88,90,6.91,overcast clouds
150,Natal,BR,2021-01-18 01:17:40,-5.795,-35.2094,80.6,69,20,11.5,few clouds
151,Tyrma,RU,2021-01-18 01:17:41,50.0833,132.1667,-8.23,86,98,1.19,overcast clouds
152,Caucaia,BR,2021-01-18 01:17:41,-3.7361,-38.6531,82.4,69,20,11.5,moderate rain
153,Chuy,UY,2021-01-18 01:17:41,-33.6971,-53.4616,65.03,71,36,8.93,scattered clouds
154,Agapovka,RU,2021-01-18 01:17:41,53.2973,59.1348,-5.8,77,40,6.71,scattered clouds
155,Sakakah,SA,2021-01-18 01:17:42,29.9697,40.2064,44.6,57,0,5.75,clear sky
156,Ponta Do Sol,PT,2021-01-18 01:17:42,32.6667,-17.1,55.99,61,94,1.01,overcast clouds
157,El Estor,GT,2021-01-18 01:17:42,15.5333,-89.35,78.8,50,75,9.22,broken clouds
158,Chokurdakh,RU,2021-01-18 01:17:42,70.6333,147.9167,-27.02,85,100,6.98,overcast clouds
159,Kavieng,PG,2021-01-18 01:17:42,-2.5744,150.7967,85.41,71,10,18.59,clear sky
160,Broken Hill,AU,2021-01-18 01:05:47,-31.95,141.4333,69.8,40,0,14.97,clear sky
161,Aksu,CN,2021-01-18 01:17:43,41.1231,80.2644,10.24,86,0,2.53,clear sky
162,Kitui,KE,2021-01-18 01:17:43,-1.367,38.0106,62.38,90,0,1.34,clear sky
163,Kalmar,SE,2021-01-18 01:17:43,56.6616,16.3616,26.01,93,90,3.44,light snow
164,Mount Gambier,AU,2021-01-18 01:15:19,-37.8333,140.7667,60.8,88,90,16.11,overcast clouds
165,Susurluk,TR,2021-01-18 01:17:43,39.9136,28.1578,32.0,80,75,6.91,broken clouds
166,Ziway,ET,2021-01-18 01:17:43,7.9333,38.7167,61.07,41,85,11.81,overcast clouds
167,Provideniya,RU,2021-01-18 01:08:56,64.3833,-173.3,1.4,71,90,13.42,light snow
168,Bethel,US,2021-01-18 01:13:45,41.3712,-73.414,39.99,56,90,9.22,overcast clouds
169,Pacific Grove,US,2021-01-18 01:11:08,36.6177,-121.9166,69.8,40,1,4.61,clear sky
170,Zhezkazgan,KZ,2021-01-18 01:10:50,47.8043,67.7144,13.37,94,98,5.28,overcast clouds
171,Dingle,PH,2021-01-18 01:17:44,10.9995,122.6711,75.2,92,100,9.69,light rain
172,Thinadhoo,MV,2021-01-18 01:17:45,0.5333,72.9333,81.32,70,1,7.45,clear sky
173,Sistranda,NO,2021-01-18 01:11:06,63.7256,8.834,30.2,80,75,16.11,broken clouds
174,Mareeba,AU,2021-01-18 01:09:01,-17.0,145.4333,78.8,89,90,2.3,moderate rain
175,Vila Velha,BR,2021-01-18 01:11:05,-20.3297,-40.2925,77.0,83,40,5.75,scattered clouds
176,Bac Lieu,VN,2021-01-18 01:17:45,9.285,105.7244,73.24,71,20,5.32,few clouds
177,Zolochiv,UA,2021-01-18 01:17:46,49.806,24.8944,12.2,92,75,8.95,light snow
178,Kindu,CD,2021-01-18 01:17:47,-2.95,25.95,70.09,96,100,2.57,light rain
179,Oksfjord,NO,2021-01-18 01:17:47,70.2396,22.3479,33.8,93,90,4.61,snow
180,Nanortalik,GL,2021-01-18 01:10:49,60.1432,-45.2371,27.28,92,100,5.57,overcast clouds
181,Bestobe,KZ,2021-01-18 01:17:47,52.4994,73.0975,8.1,93,0,12.01,clear sky
182,Mujiayingzi,CN,2021-01-18 01:17:47,42.1167,118.7833,-6.59,84,75,2.68,broken clouds
183,Sambava,MG,2021-01-18 01:17:47,-14.2667,50.1667,77.25,87,56,6.2,light rain
184,Biltine,TD,2021-01-18 01:15:46,14.5333,20.9167,63.01,24,0,9.35,clear sky
185,Port Elizabeth,ZA,2021-01-18 01:17:48,-33.918,25.5701,66.2,82,75,2.3,broken clouds
186,Ambulu,ID,2021-01-18 01:17:48,-8.345,113.6058,81.32,73,94,0.25,light rain
187,Makakilo City,US,2021-01-18 01:09:06,21.3469,-158.0858,80.6,65,20,8.05,few clouds
188,Grindavik,IS,2021-01-18 01:13:04,63.8424,-22.4338,33.8,93,75,17.27,light snow
189,Hithadhoo,MV,2021-01-18 01:09:22,-0.6,73.0833,80.62,71,51,7.47,broken clouds
190,Tuktoyaktuk,CA,2021-01-18 01:11:42,69.4541,-133.0374,-4.0,84,75,9.22,broken clouds
